Year,Bill No.,Short Title,Date of Introduction / House,Debate / Passed in LS,Debate / Passed in RS,Referred to Committee / Report Presented,Assent Date/ Gazette Notification / Act No.,Synopsis
2023,81,"THE COASTAL AQUACULTURE AUTHORITY (AMENDMENT) BILL, 2023",05/04/2023  (Lok Sabha),,,,,
2023,80,"THE FOREST (CONSERVATION) AMENDMENT BILL, 2023",29/03/2023  (Lok Sabha),,,,,
2023,64,"The Appropriation Bill, 2023",23/03/2023  (Lok Sabha),,,,,
2023,67,"THE JAMMU AND KASHMIR APPROPRIATION (No. 2) BILL, 2023",21/03/2023  (Lok Sabha),21/03/2023,,,,
2023,66,"THE JAMMU AND KASHMIR APPROPRIATION BILL, 2023",21/03/2023  (Lok Sabha),21/03/2023,,,,
2023,65,"THE APPROPRIATION (NO. 2) BILL, 2023",21/03/2023  (Lok Sabha),21/03/2023,,,,
2023,62,"The Inter-Services Organisations (Command, Control and Discipline) Bill, 2023",15/03/2023  (Lok Sabha),,,,,
2023,17,"The Finance Bill, 2023",01/02/2023  (Lok Sabha),24/03/2023,,,,
2022,299,"THE JAN VISHWAS (AMENDMENT OF PROVISIONS) BILL, 2022",22/12/2022  (Lok Sabha),,,,,
2022,290,"THE REPEALING AND AMENDING BILL, 2022",19/12/2022  (Lok Sabha),,,,,
2022,246,"THE APPROPRIATION (No. 5) BILL, 2022",14/12/2022  (Lok Sabha),14/12/2022,21/12/2022,,22 of 2022,
2022,246,"THE APPROPRIATION (No. 5) BILL, 2022",14/12/2022  (Lok Sabha),14/12/2022,21/12/2022,,22 of 2022,
2022,245,"THE APPROPRIATION (No. 4) BILL, 2022",14/12/2022  (Lok Sabha),14/12/2022,21/12/2022,,21 of 2022,
2022,245,"THE APPROPRIATION (No. 4) BILL, 2022",14/12/2022  (Lok Sabha),14/12/2022,21/12/2022,,21 of 2022,
2022,99,"The Indian Penal Code (Amendment) Bill, 2022 (Insertion of new sections 379A and 379B)",09/12/2022  (Lok Sabha),,,,,
2022,97,"The Financial Assistance to the State Governments (For Protection of Water Bodies) Bill, 2022.",09/12/2022  (Lok Sabha),,,,,
2022,57,"The Citizenship (Amendment) Bill, 2022 (Amendment of section 2, etc.)",09/12/2022  (Lok Sabha),,,,,
2022,44,"The Central Universities (Amendment) Bill, 2022 (Insertion of new section 3F, etc.)",09/12/2022  (Lok Sabha),,,,,
