State,Values
Andaman and Nicobar Islands,8
Andhra Pradesh,604
Arunachal Pradesh,5
Assam,1509
Bihar,502
Chandigarh,169
Chhattisgarh,3102
Delhi,1025
Dadra and Nagar Haveli and Daman and Diu,47
Goa,493
Gujarat,1671
Himachal Pradesh,264
Haryana,817
Jharkhand,434
Jammu and Kashmir,700
Karnataka,5989
Kerala,58888
Ladakh,41
Lakshadweep,88
Maharashtra,49631
Meghalaya,117
Manipur,82
Madhya Pradesh,1993
Mizoram,20
Nagaland,139
Odisha,558
Punjab,2883
Puducherry,190
Rajasthan,1300
Sikkim,163
Telangana,1205
Tamil Nadu,4120
Tripura,63
State Unassigned,0
Uttar Pradesh,2433
Uttarakhand,1829
West Bengal,3579
Total,146659
